Word, Count
b'work',10
b'implement',1
b'old',3
b'weeks',1
b'250th',4
b'National',2
b'save',4
b'upon',2
b'William',1
b'Alexander',1
b'doctor',1
b'towards',1
b'border',2
b'Federal',1
b'sure',1
b'eliminates',1
b'working',3
b'made',6
b'Latino',1
b'replace',1
b'future',8
b'Motors',1
b'FDA',1
b'Middle',2
b'eternity',1
b'artists',1
b'founded',1
b'strategic',1
b'lifted',1
b'impossible',1
b'month',1
b'thousands',3
b'rights',4
b'course',1
b'begin',2
b'fight',2
b'9',1
b'spread',1
b'wide',1
b'make',6
b'value',1
b'skill',1
b'move',1
b'opposite',1
b'losing',2
b'taking',1
b'Jewish',2
b'Then',1
b'turned',1
b'hundreds',1
b'called',1
b'sending',1
b'reaching',1
b'cure',1
b'life',6
b'funding',1
b'become',4
b'currently',1
b'Danny',1
b'lay',1
b'but',10
b'Her',1
b'increased',1
b'nomination',1
b'Ninetyfour',1
b'witnessing',1
b'across',10
b'also',8
b'radical',1
b'spending',1
b'Access',1
b'meaningful',2
b'both',4
b'Lady',1
b'United',12
b'Nations',3
b'these',3
b'advance',1
b'deserves',1
b'footprints',1
b'measures',1
b'degree',1
b'legal',2
b'Were',1
b'months',1
b'etched',1
b'100th',1
b'tax',6
b'prison',1
b'announced',1
b'forms',1
b'daughters',1
b'making',1
b'raise',2
b'coordinate',1
b'entities',1
b'through',3
b'founding',1
b'8',1
b'themselves',1
b'one',14
b'illnesses',1
b'17yearold',1
b'Muslims',1
b'man',2
b'calls',2
b'agency',1
b'countless',1
b'majority',1
b'industries',1
b'prior',1
b'empowered',1
b'taxes',1
b'Millions',1
b'company',2
b'manufacturing',1
b'stable',1
b'own',4
b'answered',1
b'savages',1
b'An',2
b'foreign',6
b'Month',1
b'silenced',1
b'salute',1
b'anywhere',2
b'Also',1
b'exchanges',1
b'supporting',1
b'Highway',1
b'complaining',1
b'Antonin',1
b'demand',1
b'none',1
b'inspiration',1
b'capital',1
b'evil',1
b'States',11
b'reconfirmed',1
b'250',2
b'teaches',1
b'new',18
b'receiving',1
b'remind',1
b'souls',2
b'Immigration',1
b'cross',1
b'Philadelphia',1
b'principles',2
b'reckless',1
b'Navy',1
b'Organization',1
b'With',1
b'poverty',3
b'slow',2
b'strengthen',1
b'pillars',1
b'conditions',2
b'following',1
b'update',1
b'going',5
b'childcare',1
b'Edison',1
b'ravaged',1
b'Rare',1
b'destruction',1
b'Vice',1
b'thinking',1
b'use',2
b'five',1
b'networks',1
b'campaign',1
b'hiring',1
b'singleyear',1
b'Democrats',3
b'problem',1
b'Muslim',1
b'becoming',1
b'historic',3
b'overseas',2
b'against',2
b'given',2
b'lawn',1
b'begun',1
b'challenge',1
b'Thomas',1
b'where',7
b'because',4
b'all',32
b'fighting',1
b'Your',1
b'see',2
b'better',5
b'watching',1
b'promote',1
b'speak',2
b'son',1
b'no',5
b'put',2
b'Heroic',1
b'insurer',1
b'back',3
b'wonders',1
b'System',1
b'struggling',1
b'opportunity',1
b'died',1
b'concerns',1
b'Administration',1
b'Center',1
b'a',92
b'cannot',3
b'by',25
b'combined',1
b'keep',6
b'anniversary',2
b'helped',1
b'proper',1
b'praying',1
b'Believe',1
b'early',1
b'taxed',2
b'remains',1
b'cut',1
b'individuals',2
b'liberty',1
b'bill',1
b'ruin',1
b'simply',1
b'fathers',2
b'Laughter',4
b'business',4
b'Protecting',1
b'attacks',2
b'husband',1
b'dismantle',1
b'Director',1
b'Prime',1
b'feet',1
b'Arizona',1
b'hope',3
b'part',1
b'spent',2
b'conclusion',1
b'Force',2
b'share',3
b'grasp',1
b'cases',1
b'replaced',1
b'council',1
b'military',5
b'health',9
b'House',1
b'saved',3
b'voice',1
b'California',1
b'promised',2
b'mandates',1
b'she',5
b'believe',6
b'entrepreneurs',1
b'vital',2
b'independence',1
b'program',3
b'protest',1
b'started',1
b'once',2
b'joining',1
b'Imagine',1
b'streets',1
b'division',1
b'defended',1
b'abroad',1
b'jet',1
b'eluded',1
b'form',2
b'Irans',1
b'rebellion',1
b'charter',1
b'had',5
b'his',10
b'abandonment',1
b'Secondly',1
b'Academy',1
b'cant',1
b'instead',1
b'deregulation',1
b'immigrant',3
